"We don't rise to the level of our expectations, we fall to the level of our training.",Archilochus
"The secret is to show up, do the work, and go home. A blue collar work ethic married to indomitable will. It is literally that simple.",Christopher Sommer
"Slow is smooth, smooth is fast.",Navy Seals
"If [more] information was the answer then we'd all be billionaires with perfect abs.",Derek Sivers,
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",Mark Twain,
"Writing a novel [or learning] is like driving at night in the fog. You can see only as far as your headlights, but you can make the whole trip that way.",E.L. Doctorow,
He who doesn't know foreign languages knows nothing of his own.,Johann Wolfgang von Goethe,
It's not because things are difficult that we dare not venture. It's because we dare not venture that they are difficult.,Seneca,
How you do anything is how you will do everything.,John Wooden,
"Even if you fail at your ambitious thing, it's very hard to fail completely. That's the thing that people don't get.",Larry Page,
"I work for myself. So when it seems like I'm being self-deprecating, I'm actually sticking it to the man.",Dave Pell,
Knowing yourself is the beginning of all wisdom.,Aristotle,
"Define success on your own terms, achieve it by your own rules, and build a life you're proud to live.",Anne Sweeney,
"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.",George Bernard Shaw,
"I will persist until I succeed. Always will I take another step. If that is of no avail I will take another, and yet another. In truth, one step at a time is not too difficult. I know that small attempts, repeated, will complete any undertaking.",Og Mandino,
You want to change your life fast? Then trade your expectation for appreciation; you'll have a whole new life.,Tony Robbins,
The struggle ends when the gratitude begins.,Neale Donald Walsch,
"Emptiness is the fasting of the mind.",Zhuangzi,
"Find the thing in you that is different, that's as sharp as a diamond and jagged as a razor. Hone that, because that's the thing with which you'll cut the world.",Clayton Cubitt,
"The acquisition of riches has been for many men, not an end, but a change, of troubles.",Epicurus,
It is impossible for a man to learn what he thinks he already knows.,Epictetus,
"Habit is the intersection of knowledge (what to do), skill (how to do), and desire (want to do).",Stephen Covey,
"Sow a thought, reap an action; sow an action, reap a habit; sow a habit, reap a character; sow a character, reap a destiny.",Stephen Covey,
"If you're the smartest person in the room, you're in the wrong room.",James Watson,
"Have no fear of perfection, you'll never reach it.",Salvador Dali,
"Everything can be taken from a man but one thing, the last of the human freedoms -- to choose one's attitude in any given set of circumstances, to choose one's own way.",Viktor Frankl,
External things are not the problem. It's your assessment of them. Which you can erase right now.,Marcus Aurelius,
It's better to be prolific than perfect.,Joe Polish,
The amount of energy necessary to refute bullshit is an order of magnitude bigger than to produce it.,Paul Kedrosky,
The best is the enemy of the good,Voltaire,
Don't let your imagination be crushed by life as a whole.,Marcus Aurelius,
"Well-being is realized by small steps, but is truly no small thing",Zeno,
Life without a design is erratic,Seneca,
"If you seek tranquility, do less. Whic brings a double satisfaction: to do less, better",Marcus Aurelius,
You could leave life right now. Let that determine what you do and say and think,Marcus Aurelius,
"Keep company only with people who uplift you, whose presence calls forth your best",Epictetus,
"Each day, acquire something that will fortify you against poverty, against death, indeed against other misfortunes, as well",Seneca,
"Concentrate every minute, on doing what's in front of you with precise and genuine seriousness, tenderly, willingly, with justice.",Marcus Aurelius,
"Putting things off and always deferring the day after which you will attend to yourself, you will live and die as someone quite ordinary",Epictetus,
"Only the disciplined ones in life are free. If you are undisciplined, you are a slave to your moods and your passions.",Eliud Kipchoge,
"Information is abundant, it's the desire to learn that's scarce.",Naval Ravikant,
"Attention, taken to its highest degree, is the same thing as prayer. It presupposes faith and love. Then is the lack of attention the opposite? Does it presuppose fear and hate?",Simone Weil,
All of humanity's problems stem from man's inability to sit quietly in a room alone.,Blaise Pascal,
Most people overestimate what they can do in one year and underestimate what they can do in ten years.,Bill Gates,
"Anti-intellectualism has been a constant thread winding its way through our political and cultural life, nurtured by the false notion that democracy means that 'my ignorance is just as good as your knowledge'.",Isaac Asimov,
Champions keep playing until they get it right.,Billie Jean King,
Birthdays cause a man to reflect on what little he has accomplished.,Albert Einstein,
"The first rule of science is that you do not fool yourself, and you are the easiest person to fool.",Richard Feynman,
Talent hits a target no one else can hit; genius hits a target no one else can see.,Arthur Schopenhauer,
The best way to predict the future is to invent it.,Alan Kay,
The greatest unsolved mysteries are the mysteries of our existence as conscious beings in a small corner of a vast universe,Freeman Dyson,
"The world will ask who you are, and if you do not know, the world will tell you.",Carl Gustav Jung,
There are no solutions. There are only trade-offs.,Thomas Sowell,
"What I cannot create, I do not understand",Richard Feynman,
"If you don't find a way to make money while you sleep, you will work until you die.",Warren Buffett,
The only way of discovering the limits of the possible is to venture a little way past them into the impossible.,Arthur C. Clarke,
"In the midst of chaos, there is also opportunity.",Sun Tzu,
"Sometimes, magic is just someone spending more time on something than anyone else might reasonably expect.",Teller,
Few people are capable of expressing with equanimity opinions which differ from the prejudices of their social environment. Most people are even incapable of forming such opinions.,Albert Einstein,
All buildings are predictions. All predictions are wrong.,Stewart Brand,
It's easier to win an argument with a genius than an idiot.,Gurwinder Bhogal,
"We are the masters of the unsaid words, but slaves of those we let slip out.",Winston Churchill,
